Name,Year,Actors
Where the Heart Is,2000,"Natalie Portman, Ashley Judd, Joan Cusack, Stockard Channing, James Frain, Alicia Godwin, J.D. Evermore, Richard Jones, Margaret Hoard, Cassandra L. Small, Dylan Bruno, Yvette Diaz, Dennis Letts, David Alvarado, Jeremy Denzlinger, Karey Green, Rodger Boyce, Angee Hughes, Jeff Cooper, Thalia Harithas, Laura Auldridge, Scarlett McAlister, Linda Wakeman, Deborah Abbott, Heather Kafka, Mark Mathis, Alecia Batson, Sally Field, Mackenzie Fitzgerald, Adrian Garza, K. Todd Lytle, TJ McFarland, Dan Eggleston, Keith David, Ray Prewitt, Jim Henry, Laura House, Stacy Bellew, Todd Lowe, Cody Linley, Katelin Petersen, Angelina Fiordellisi, Chris Warner, Jason C. Young, John Swasey, Kathryn Esquivel, Kinna McInroe, Kylie Harmon, Tony Mann, Russell Towery, Bob Coonrod, Natalie Pena, Mark Voges, Jim Beaver, Gabriel Folse, Cheyenne Rushing, Rebecca Davis, Susan Hegarty, Trevor Nelson, Molly Howe, Sue McCormick, Mary Ashleigh Green, Alecia Batson, Jeff Cooper, Lisa Del Dotto, Cassandra L. Small, Richard Nance"
Leaving Las Vegas,1995,"Nicolas Cage, Elisabeth Shue, Julian Sands, Valeria Golino, Richard Lewis, Steven Weber, Emily Procter, Stuart Regen, Mariska Hargitay, R. Lee Ermey, Kim Adams, Danny Huston, Graham Beckel, Albert Henderson, Shashi Bhatia"
Chasing Amy,1997,"Ben Affleck, Joey Lauren Adams, Dwight Ewell, Jason Mewes, Ethan Suplee, Virginia Smith, Brian O'Halloran, Matt Damon, Casey Affleck, Jason Lee, Kevin Smith, Scott Mosier, Guinevere Turner, Carmen Llywelyn, Jeff Anderson, 'Krazy Joe' Fiore, Tony Torn, Welker White, Kelli Simpkins, John Willyung, Tse-Mach Washington, Ernest O'Donnell, Kristin Mosier, Mike Allred, Illeana Douglas, Walt Flanagan, Robert Hawk, Brian Jude, Brian Lynch, Jeff Millstein, Vincent Pereira, Joe Quesada, Alexander Goebbel, Rebecca Waxman, Paris Petrick"
Apt Pupil,1998,"David Schwimmer, Brad Renfro, Ian McKellen, Heather McComb, James Karen, Ann Dowd, Joshua Jackson, Bruce Davison, Katherine Malone, Blake Anthony Tibbetts, Michael Reid MacKay, Mickey Cottrell, Marjorie Lovett, Grace Sinden, David Cooley, Elias Koteas, Kevin Spirtas, Michael Byrne, Danna Dennis, Jan Tříska, Joe Morton, Michael Artura, Donna Marie Brown, Mark Flythe, Warren Wilson, Mildred Singer, Mary Ottman, Darrell Britt, Robert ""Duckie"" Carpenter, Richard Dunn, Joseph Ashton Montgomery, Phaedra Neitzel, Anthony Moore, Jill Harris, Norbert Dave Singer"
Under Siege 2: Dark Territory,1995,"Steven Seagal, Eric Bogosian, Katherine Heigl, Morris Chestnut, Everett McGill, Bruce McGill, Peter Greene, Brenda Bakke, Patrick Kilpatrick, Andy Romano, Scott Sowers, Afifi Alaouie"
Shakespeare in Love,1998,"Gwyneth Paltrow, Geoffrey Rush, Colin Firth, Ben Affleck, Judi Dench, Joseph Fiennes, Tom Wilkinson, Martin Clunes, Steven O'Donnell, Tim McMullan, Sandra Reinton, Patrick Barlow, Steven Beard, Antony Sher, Simon Callow, David Curtiz, Nicholas Boulton, Jim Carter, Imelda Staunton, Mark Williams, Jill Baker, Rupert Everett, Bridget McConnell, Georgie Glen, Desmond McNamara, Barnaby Kay, Paul Bigley, Jason Round, Rupert Farley, Adam Barker, Joe Roberts, Harry Gostelow, Alan Cody, Gregor Truter, Simon Day, Amber Glossop, Robin Davies, Hywel Simons, Nicholas Le Prevost, Timothy Kightley, Mark Saban, Bob Barrett, Roger Morlidge, Daniel Brocklebank, Roger Frost, Rebecca Charles, Richard Gold, Rachel Clarke, Lucy Speed, Patricia Potter, John Ramm, Martin Neely, Martin Neely, Jason Canning, Kelley Costigan, John Inman"
Cruel Intentions,1999,"Ryan Phillippe, Sarah Michelle Gellar, Reese Witherspoon, Selma Blair, Sean Patrick Thomas, Tara Reid, Swoosie Kurtz, Joshua Jackson, Christine Baranski, Louise Fletcher, Eric Mabius, Charlie O'Connell, Deborah Offner, Fred Norris, Ginger Williams, Alaina Reed Hall, Herta Ware, Hiep Thi Le, Drew Snyder, Philip Hawn, Jim Jenkins, Elizabeth M. Kelly, Guy Kochlani"
Showgirls,1995,"Elizabeth Berkley, Kyle MacLachlan, Gina Gershon, Alan Rachins, Robert Davi, Glenn Plummer, Gina Ravera, William Shockley, Greg Travis, Patrick Bristow, Dewey Weber, Rena Riffel, Al Ruscio, Michelle Johnston, Carrie Ann Inaba, Lin Tucci, Rena Riffel"
The Family Man,2000,"Nicolas Cage, Téa Leoni, Don Cheadle, Harve Presnell, Josef Sommer, Lisa Thornhill, Makenzie Vega, Saul Rubinek, Jeremy Piven, Francine York, Ruth Williamson, Mary Beth Hurt, Amber Valletta, Ken Leung, Tom McGowan, Paul Sorvino, Kate Walsh, Troy Hall, John F. O'Donohue, Daniel Whitner, Ryan Milkovich, Jake Milkovich, Lucy Lin, Lisa LoCicero, Wass M. Stevens, Thomas James Foster, Irene Roseen, Mak Fai, Maggi-Meg Reed, Rae Valentine, Gianni Russo, Joel McKinnon Miller, Tanya Newbould, Hilary Adahms, Kathleen Doyle, Mary Civiello, Paul Keith, Elizabeth Sjoli, Philippe Bergeron, Christopher Breslin, Si Picker, Lisa Guzman, Robert Downey Sr., P.J. Barry, Nina Barry, Ellis, Danielle Camastra, Johnny Drocco, Elena Fabri, Tarri Markel, Tarri Markel, Adam Mucci, Jessica Montanez, Louis E. Rosas, Jill Scott, Nicky Taylor"
The English Patient,1996,"Ralph Fiennes, Kristin Scott Thomas, Colin Firth, Juliette Binoche, Naveen Andrews, Willem Dafoe, Julian Wadham, Clive Merrison, Nino Castelnuovo, Kevin Whately, Jürgen Prochnow, Hichem Rostom, Peter Rühring, Geordie Johnson, Torri Higginson, Liisa Repo-Martell"
Apollo 13,1995,"Tom Hanks, Kevin Bacon, Bill Paxton, Gary Sinise, Ed Harris, Kathleen Quinlan, Miko Hughes, Loren Dean, Xander Berkeley, David Andrews, Mary Kate Schellhardt, Clint Howard, Marc McClure, Christian Clemenson, Chris Ellis, Tracy Reiner, Emily Ann Lloyd, Jean Speegle Howard, Michele Little, Max Elliott Slade, Bryce Dallas Howard, Joe Spano, Ben Marley, Thomas Mills Wood, Googy Gress, Patrick Mickler, Ray McKinnon, Max Grodénchik, Brett Cullen, Ned Vaughn, Andy Milder, Geoffrey Blake, Wayne Duvall, Jim Meskimen, Joseph Culp, John Short, Ben Bodé, Todd Louiso, Gabriel Jarret, Christopher John Fields, Kenneth White, James Ritz, Andrew Lipschultz, Mark Wheeler, Larry Williams, Endre Hules, Karen Martin, Maureen Hanley, Meadow Williams, Walter von Huene, Brian Markinson, Steve Rankin, Austin O'Brien, Louisa Marie, Thom Barry, Arthur Senzy, Carl Gabriel Yorke, Ryan Holihan, Rance Howard, Jane Jenkins, Todd Hallowell, Matthew Michael Goodall, Taylor Goodall, Misty Dickinson, Roger Corman, Lee Anne Matusek, Mark D. Newman, Mark McKeel, Patty Raya, Jack Conley, Jeffrey Kluger, Bruce Wright, Ivan Allen, Jon Bruno, Reed Rudy, Steve Bernie, Steve Ruge, Herbert Jefferson Jr., John Dullaghan, John Wheeler, Paul Mantee, Julie Rowen, Thomas Crawford, Frank Cavestani, John M. Mathews, Walter Altman, John Bishop, John Timothy Botka, Jaime Campos, Tory Christopher, Michael S. Connolly, Cheryl Howard, Kent Kasper, Sarah Krasner, Chauntal Lewis, Jim Lovell, Marilyn Lovell, Chris Moore, Ted West"
Babe,1995,"James Cromwell, Magda Szubanski, Christine Cavanaugh, Miriam Margolyes, Hugo Weaving, Miriam Flynn, Russi Taylor, Roscoe Lee Browne, Danny Mann, Evelyn Krape, Paul Livingston, Michael Edward-Stevens, Charles Bartlett, Paul Goddard"
Sense and Sensibility,1995,"Emma Thompson, Kate Winslet, Hugh Grant, Alan Rickman, Greg Wise, Gemma Jones, Myriam Francois-Cerrah, Elizabeth Spriggs, Harriet Walter, Imelda Staunton, Imogen Stubbs, Hugh Laurie, Robert Hardy, Tom Wilkinson, James Fleet, Richard Lumsden, Ian Brimble"
Good Will Hunting,1997,"Matt Damon, Robin Williams, Ben Affleck, Minnie Driver, Stellan Skarsgård, Casey Affleck, Cole Hauser, Colleen McCauley, John Mighton, Rachel Majorowski, Harmony Korine, George Plimpton, Kevin Rushton, Derrick Bridgeman, Matt Mercier, Ann Matacunas, Chas Lawther, Robert Talvano, Joe Cannon, Philip Williams, Jimmy Flynn, Ralph St. George, Bruce Hunter, Riva Di Paola, Dan Washington, Vik Sahay, Alison Folland, James Allodi, Patrick O'Donnell, Thomas Lundy, David Eisner, Steven Kozlowski, Richard Fitzpatrick, Jennifer Deathe, Rob Lyons, Libby Geller, Christopher Britton, Barna Moricz, Kent Damon, Rob Lynds, Jessica Morton, Scott William Winters, Shannon Egleson, Frank Nakashima, Francesco Clemente, Bobby Curcoro, Daniel Olsen"
L.A. Confidential,1997,"Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell, Kim Basinger, David Strathairn, Danny DeVito, Ron Rifkin, Matt McCoy, Paul Guilfoyle, Brenda Bakke, Paolo Seganti, Nectar Rose, Sandra Taylor, Graham Beckel, Elisabeth Granli, Steve Rankin, Allan Graf, Precious Chong, Symba, Bob Clendenin, Lennie Loftin, Will Zahrn, Amber Smith, Darrell Sandeen, Michael Warwick, Simon Baker, Shawnee Free Jones, Matthew Allen Bretz, Thomas Rosales Jr., Shane Dixon, Norman Howell, Brian Lally, Don Pulford, Chris Short, John Mahon, Tomas Arana, Michael McCleery, George Yager, Jack Conley, Ginger Slaughter, Jack Knight, John H. Evans, Gene Wolande, Brian Bossetta, Michael Chieffo, Gwenda Deacon, Mike Kennedy, Ingo Neuhaus, Robert Harrison, Jim Metzler, Robert Barry Fleming, Jeremiah Birkett, Salim Grant, Karr Washington, Noel Evangelisti, Marisol Padilla Sánchez, Jeff Sanders, Steven Lambert, Jordan Marder, Gregory White, April Breneman, Lisa Worthy, Beverly Sharpe, Colin Mitchell, John Slade, Kevin Maloney, Patrice Walters, Rebecca Klingler, Irene Roseen, Scott Eberlein, David St. James, Bodie Newcomb, Jeff Austin, Robert Foster, Kevin Patrick Kelly, Henry Marder, Monty McKee, Henry Meyers, Michael Ossmann, Dick Stilwell, Jess Thomas, Robert Thompson, Jody Wood, Jonathan Adler, Hennen Chambers, Priscilla Cory, T.K. Durham, Scott McKinley, Jimmy Ortega, Gilbert Rosales, Rocco Salata, Vern Urich, Sam P.Whitehead, Dell Yount"
Mrs. Brown,1997,"Gerard Butler, Geoffrey Palmer, Judi Dench, Billy Connolly, Antony Sher, Richard Pasco, Oliver Kent, Georgie Glen, Bridget McConnell, Claire Nicolson, Sara Stewart, David Westhead, Finty Williams, Hattie Ladbury, Alex Menzies, Simon McKerrell"
Fools Rush In,1997,"Matthew Perry, Salma Hayek, Siobhan Fallon Hogan, John Bennett Perry, Jill Clayburgh, Jon Tenney, Stanley DeSantis, Carlos Gómez, Tomas Milian, Mark Adair-Rios, Anne Betancourt, Suzanne Snyder, Angelina Torres, Debby Shively, Annie Combs, Shelley Morrison, María Cellario, Irene Hernández, Josh Cruze, Angela Lanza, Randy Sutton, Christopher Michael, Angel Valdez, César Santana, Garret Davis, Chris O'Neill, John Tripp, Andrew Hill Newman, Chris Bauer, Douglas Weston, Rupert Baca, Jan Austell, Cydney Arther, Leslie Silva, Maryann Plunkett, Juel Mendel, Eddie Powers, Salvador Saldaña, Roger Anthony, Robert Arevalo, Beth Broderick, Veronica Grey, Gilda Longoria, Marshall Dancing Elk Lucas, Bob Pepper, Maridean Mansfield Shepard, Jay So, Sheila Surkes Scotti, Jeff Yesko"
The Jerky Boys: The Movie,1995,"Alan Arkin, Alan North, William Hickey, Suzanne Shepherd, James Lorinz, Paul Bartel, Vincent Pastore, Jorja Fox, Brad Sullivan, John G. Brennan, Kamal Ahmed, Brian Tarantina, Peter Appel, Darryl Theirse, David Pittu, Frank Senger, Michael Louis Serafin-Wells, Ozzy Osbourne, Henry Bogdan, Rob Echeverria, Page Hamilton, John Stanier, John Norman Thomas, Hope Shapiro, Danny Dennis, Brenda Forbes, David Stepkin, Robert Weil, Joe Lisi, Ron Ostrow, Garfield, Susan Blommaert, Angela Pupello, Ronald Rand, David Klein, Coach Cox, Christopher Conte, Charlotte Moore, Dennis Hutchinson, Maria A. Corbo, Jerry Dunphy, Christopher Calvin Harrison, John DiLeo, Marc Webster, Michael E. Giammella, Mark Birch, Liam Ferguson, Matthew T. Gitkin, Steve Nuke, Michael Wehrhahn"
Restoration,1995,"Meg Ryan, Sam Neill, Polly Walker, David Thewlis, Robert Downey Jr., Hugh Grant, Ian McKellen"
Nixon,1995,"Anthony Hopkins, Joan Allen, Paul Sorvino, Bob Hoskins, Powers Boothe, James Woods, Ed Harris, Kevin Dunn, E. G. Marshall, Fyvush Finkel, Bridgette Wilson, Bai Ling, Robert Beltran, Dan Hedaya, Annabeth Gish, Edward Herrmann, David Paymer, George Plimpton, David Hyde Pierce, Mary Steenburgen, J. T. Walsh, Madeline Kahn, John Stockwell, Michael Chiklis, Oliver Stone, Joanna Going, Tony Goldwyn, Saul Rubinek, James Pickens Jr., Larry Hagman, John Diehl"
Sling Blade,1996,"Billy Bob Thornton, Robert Duvall, Lucas Black, J. T. Walsh, John Ritter, Dwight Yoakam, Natalie Canerday, James Hampton, Rick Dial, Brent Briscoe, Christine Renee Ward, Sarah Boss, Kathy Sue Brown, Wendell Rafferty, Col. Bruce Hampton (Ret.), Vic Chesnutt, Mickey Jones, Jim Jarmusch, Ian Moore, Judy Pryor Trice, Scott Stewart, Betty Lynn Hall, Gary Don Fletcher, Tim Holder, Tom Kagy, Stacy Barrow, Jackie Stewart, Jamie Stewart, D.J. Royston, Lacy Bailey, Raymond Lewallen, Bill Glasscock"
The People vs. Larry Flynt,1996,"Woody Harrelson, Courtney Love, Edward Norton, Richard Paul, James Cromwell, Vincent Schiavelli, Crispin Glover, Brett Harrelson, Miles Chapin, Rainbeau Mars, James Carville, Donna Hanover, Burt Neuborne, Norm Macdonald, Larry Flynt, Jan Tříska, Cody Block, Ryan Post, Robert Davis, Kacky Walton, John Ryan, Kathleen Kane, Greg Roberson, Jim Peck, Mike Pniewski, Tim Parati, Rick Rogers, Dan Lenzini, David Compton, Gary Lowery, Stephen Dupree, Tam Drummond, Nancy Lea Owen, John Fergus Ryan, Oliver Reed, Meresa T. Ferguson, Andrena Fisher, Ken Kidd, Janie Paris, Carol Russell-Woloshin, Ruby Wilson, Eddie Davis, Blaine Pickett, Kerry White, Joey Hadley, Chris Schadrack, Mac Pirkle, Mark W. Johnson, Doug Bauer, Roberto Roman Ramirez, Blaine Nashold, Aurélia Thiérrée, Scott William Winters, D'Army Bailey, Mike McLaren, Andrew Stahl, Michael Detroit, Jaime Jackson, David Dwyer, Richard Birdsong, James A. White, Gerry Robert Byrne, Benjamin Greene Jr., Mary Neal Naylor, Tina M. Bates, Evans Donnell, Jay Adams, Bennett Wood, Janice Holder, A.V. McDowell, Jim Grimshaw, James Smith, Rand Hopkins, Charles M. Crump, Pierre Secher, Linn Sitler, Mary M. Norman, Jack Shea, Lisa Lax, Susan Howe, Michael Davis, Dennis Turner, Patti Hatchett, Ann Marie Hall, Nate Bynum, Paula Haddock, Gary Kraen, Jeff Johnston, Joey Sulipeck, Jim Palmer, Gene Lyons, Saida Pagan, Jim Hild, Michael Klastorin, Michelle Robinson, Ken Axmaker Jr., James Buchanan, Neill Calabro, Emmy Collins, Kiki Daire"
Ulee's Gold,1997,"Peter Fonda, Patricia Richardson, Christine Dunford, Thomas Mills Wood, Vanessa Zima, Dewey Weber, Steven Flynn, Chad Fish, Ryan Marshall, J. Kenneth Campbell, Traber Burns, Jessica Biel"
Gods and Monsters,1998,"Ian McKellen, Brendan Fraser, Lynn Redgrave, David Dukes, Matt McKenzie, Lolita Davidovich, Jesse James, Rosalind Ayres, Jack Plotnick, Mark Kiely, Cornelia Hayes O'Herlihy, Kevin J. O'Connor, Pamela Salem, Jack Betts, Todd Babcock, Brandon Kleyla, Michael O'Hagan, David Millbern, Amir Aboulela, Marlon Braccia, Jesse Long, Kent George, Martin Ferrero, David Fabrizio, Lisa Darr, Paul Michael Sandberg, Judson Mills, Arthur Dignam, John Gatins, Curtis Harrington, James Lecesne, Sarah Ann Morris, Richard Pines, Owen Masterson, Lisa Vastine"
Affliction,1997,"Nick Nolte, Sissy Spacek, James Coburn, Mary Beth Hurt, Willem Dafoe, Sean McCann, Wayne Robson, Holmes Osborne, Jim True-Frost, Tim Post, Marian Seldes, Christopher Heyerdahl, Sheena Larkin, Brigid Tierney, Janine Theriault, Paul Stewart"
American History X,1998,"Edward Norton, Edward Furlong, Beverly D'Angelo, Avery Brooks, Fairuza Balk, Stacy Keach, Elliott Gould, Jennifer Lien, Guy Torry, Ethan Suplee, William Russ, Joseph Cortese, Christopher Masterson"
SLC Punk!,1998,"Matthew Lillard, Michael A. Goorjian, Annabeth Gish, Jennifer Lien, Summer Phoenix, Devon Sawa, Til Schweiger, Christopher McDonald, Jason Segel, Adam Pascal, James Duval, Chiara Barzini, Kevin Breznahan, Christina Karras, Russell Peacock, Christopher Ogden, Francis Capra, McNally Sagal, Scott Brady, Vaughn McBride, Janice Knickrehm, Marcia Dangerfield, Tom Jacobson, Stephanie Shumway, Eric Robertson, Micaela Nelligan, Mary Bishop, Dominic Gortat, Evan O'Meara, Elizabeth Westwood, Glade Quinn, Brad Jessey, Don Walsh, Adam Lawson, Brandon Klock, Kassandra Metos, Brad Slocum, Joyce Cohen, Tracy Pfau, Dan Epstein, Paige O'Meara, Preston O'Meara, Frank L. Bare II, James Merendino, James Merendino, Bijan Zaimi, Evan O'Meara"
The Rainmaker,1997,"Matt Damon, Danny DeVito, Claire Danes, Jon Voight, Mary Kay Place, Dean Stockwell, Teresa Wright, Virginia Madsen, Mickey Rourke, Andrew Shue, Red West, Johnny Whitworth, Adrian Roberts, Roy Scheider, Randy Travis, Danny Glover, Claire Robinson"
Romeo + Juliet,1996,"Leonardo DiCaprio, Claire Danes, Pete Postlethwaite, Miriam Margolyes, Dash Mihok, Paul Sorvino, Brian Dennehy, Vondie Curtis-Hall, Jesse Bradford, Paul Rudd, John Leguizamo, Harold Perrineau, Vincent Laresca, Christina Pickles, Diane Venora, Jamie Kennedy, Mario Cimarro, M. Emmet Walsh"
Shadow of the Vampire,2000,"John Malkovich, Willem Dafoe, Udo Kier, Cary Elwes, Catherine McCormack, Eddie Izzard, Aden Gillett, Ronan Vibert, Sophie Langevin, Nicholas Elliott"
The Red Violin,1998,"Samuel L. Jackson, Jason Flemyng, Greta Scacchi, Christoph Koncz, Don McKellar, Jean-Luc Bideau, Sandra Oh, Monique Mercure, Sylvia Chang, Carlo Cecchi, Irene Grazioli, Johannes Silberschneider, Anita Laurenzi, Julian Richings, Lui Zifeng"
Buffalo '66,1998,"Vincent Gallo, Christina Ricci, Mickey Rourke, Rosanna Arquette, Ben Gazzara, Anjelica Huston, Jan-Michael Vincent, Kevin Corrigan, Kevin Pollak, Alex Karras, John Sansone"
